Year,Team,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG%,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG%,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG%
2025,New York Knicks,1.8,5.1,35.4,2,4.9,40,8.7,23.7,36.8
2025,Oklahoma City Thunder,1.9,4.9,38.7,1.6,3.9,41,11,29.9,36.8
2025,Orlando Magic,1.7,5.2,32.9,1.8,4.7,37.5,7.5,25,30.2
2025,Philadelphia 76ers,1.5,3.9,39.8,1.6,4.1,38,9.7,28.8,33.7
2025,Phoenix Suns,2.7,6.2,44.4,2.3,5.6,41,9.4,25.8,36.5
2025,Portland Trail Blazers,1.4,4.3,33.1,1.9,5.1,37.2,9.7,27.9,34.6
2025,Sacramento Kings,2.2,5.3,41.2,1.3,3.4,38.2,9.1,26.6,34.1
2025,San Antonio Spurs,1.9,5.1,38,2,5,40.6,10.1,29.3,34.5
2025,Toronto Raptors,1.9,5.1,36.6,1.9,5,39.1,7.7,23,33.7
2025,Utah Jazz,2.3,5.8,39.2,2.2,5.3,42.1,9.3,27.9,33.4
2025,Washington Wizards,1.4,3.8,35.6,1,3.2,32.8,10.8,31.9,33.7
2024,Atlanta Hawks,2.1,5.9,36,1.9,4.7,40.4,9.7,26.9,36
2024,Boston Celtics,1.9,4.6,42.1,2.1,4.7,43.9,12.5,33,37.7
2024,Brooklyn Nets,2.1,5,42.4,2,5,39.9,9.1,26.4,34.6
2024,Charlotte Hornets,1.5,4.4,34.7,1.3,3.5,37.9,9.2,25.9,35.6
2024,Chicago Bulls,1.8,4.7,39.3,1.7,4.5,37.7,7.9,22.7,34.9
2024,Cleveland Cavaliers,1.7,4.8,36,1.7,4.4,38.2,10.1,27.5,36.8
2024,Dallas Mavericks,2.1,5.9,34.7,2,5.3,38,10.5,28.1,37.4
2024,Denver Nuggets,1.5,4.3,36.1,1.4,3.5,41.3,8.7,23.2,37.6
2024,Detroit Pistons,1.4,4.4,31.4,1.9,4.6,40.7,7.8,22.5,34.7
2024,Golden State Warriors,1.3,3.7,36.1,1.3,3.1,41.7,12.1,31.9,38
2024,Houston Rockets,1.2,3.2,38,1.4,3.3,40.8,10.1,29.3,34.6
2024,Indiana Pacers,1.6,4,39.5,2,4.6,42.1,9.6,26.4,36.5
2024,Los Angeles Clippers,1.9,4.5,41.8,1.7,4.2,40.1,9,24.3,37.2
2024,Los Angeles Lakers,1.8,4.6,39.8,1.4,3.7,37.3,8.6,22.8,37.6
2024,Memphis Grizzlies,1.9,5.3,35.5,1.5,4.5,34.2,9.7,27.8,34.8
2024,Miami Heat,2.1,5.2,40.2,1.9,4.9,38.3,8.5,23.5,36.2
2024,Milwaukee Bucks,2,4.8,40.7,2.2,5.3,41.6,10,27.8,36
2024,Minnesota Timberwolves,2.1,5.1,40.8,1.8,4.4,40.9,8.7,22.9,38.1
2024,New Orleans Pelicans,1.7,4.1,42.9,2.1,5,42.4,8.6,23.4,37
2024,New York Knicks,2.1,5.4,39,2,4.8,42.5,9,25.5,35.5
2024,Oklahoma City Thunder,2.2,5.3,42.3,1.4,3.5,39.9,9.6,25.3,38.1
2024,Orlando Magic,1.7,4.6,37,1.4,4,36.4,7.9,22.6,34.9
2024,Philadelphia 76ers,1.5,3.8,38.7,1.5,3.7,40.7,9.1,25.7,35.4
2024,Phoenix Suns,1.9,4.5,42.4,1.5,3.8,38.4,9,24.2,37.4
2024,Portland Trail Blazers,1.6,4.4,36.4,1.5,4,36.9,8.4,24.6,34
2024,Sacramento Kings,2.2,5.7,38.8,1.6,4.3,38.2,10.5,29.2,36
2024,San Antonio Spurs,1.6,4.5,37,1.7,4.4,38.6,9.3,27.3,34
